"26509";"Absolute atmospheric correction"
"26510";"Atmospheric correction"
"26511";"Absolute positioning"
"26512";"Satellite-based positioning"
"26513";"Ratio data"
"26514";"Absorption of electromagnetic radiation"
"26515";"Absorptance"
"26516";"Sources of EM radiation"
"26517";"Accuracy"
"26518";"Perkal band"
"26519";"RMSE"
"26520";"Tri-stimuli theory"
"26521";"RGB"
"26522";"Agent-Based"
"26523";"Implementation logic"
"26524";"Airplane"
"26525";"Platform"
"26526";"Analysis"
"26527";"Spatial data acquisition"
"26528";"Line representation"
"26529";"Radiometric correction"
"26530";"Atmospheric windows"
"26531";"Electromagnetic radiation"
"26532";"Atmospheric absorption and transmission"
"26533";"Selection by attribute conditions"
"26534";"Query"
"26535";"Attribute accuracy"
"26536";"Data Quality"
"26537";"Uncertainty"
"26538";"Error matrix"
"26539";"Sources of errors"
"26540";"Automatic reclassification"
"26541";"Reference receiver"
"26542";"Receiver"
"26543";"Relative positioning"
"26544";"Blackbody object radiance"
"26545";"Emission of electromagnectic radiation"
"26546";"Planck's law of radiation"
"26547";"Boundaries"
"26548";"Discrete Field"
"26549";"Geographic object"
"26550";"Topological  data model"
"26551";"Brightness temperature"
"26552";"Buffer"
"26553";"YMC"
"26554";"Camera"
"26555";"Sensor"
"26556";"Carrier phase measurement"
"26557";"Surface Analysis"
"26558";"Raster Proximity"
"26559";"Cellular Automata"
"26560";"Characteristic of time"
"26561";"Time"
"26562";"Class Definition"
"26563";"Digital Image Classification"
"26564";"Class separability"
"26565";"Training"
"26566";"Classification Algorithm"
"26567";"Clock reading"
"26568";"Systematic error"
"26569";"Space segment"
"26570";"Code measurement"
"26571";"Cognitive mapping"
"26572";"Colour composite"
"26573";"True colour"
"26574";"Completeness"
"26575";"Model component"
"26576";"Systems model"
"26577";"Human Vision"
"26578";"Continuous Field"
"26579";"Geographic field"
"26580";"Interpolation"
"26581";"Regular Tessellation"
"26582";"Spatial data layer"
"26583";"Control segment"
"26584";"Network positioning"
"26585";"GNSS Constellation"
"26586";"Coordinate system"
"26587";"Coordinate transformation"
"26588";"Correction of imperfections of a sensor"
"26589";"Correlation"
"26590";"Mapping procedure"
"26591";"Cost function"
"26592";"Data attribute"
"26593";"Crowdsourcing"
"26594";"Data"
"26595";"Data representation"
"26596";"Data Modelling"
"26597";"Modelling"
"26598";"Data characteristics in mapping"
"26599";"Data measurement scale"
"26600";"Non-Spatial Data"
"26601";"Data storage and maintainance"
"26602";"Spatial database"
"26603";"Database"
"26604";"GIS"
"26605";"Database management system"
"26606";"Filtering"
"26607";"Edge detection"
"26608";"Image analysis"
"26609";"Digitizing"
"26610";"Vector Representation"
"26611";"Image display"
"26612";"Image enhancement"
"26613";"Distance"
"26614";"Speed of light"
"26615";"Time measurement"
"26616";"Waves and photons"
"26617";"EM spectrum"
"26618";"Ellipsoid"
"26619";"Reference surface"
"26620";"Global horizontal datum"
"26621";"Emissivity"
"26622";"Real object radiance"
"26623";"Empirical"
"26624";"Energy"
"26625";"Orbit"
"26626";"Feature Space"
"26627";"Image"
"26628";"Supervised Image Classfication Algorithm"
"26629";"Field survey"
"26630";"Terrestrial surveys"
"26631";"Fieldwork"
"26632";"Final interpretation"
"26633";"Visual image interpretation"
"26634";"Geocoding"
"26635";"Resampling procedure"
"26636";"Geographic Phenomenon"
"26637";"Geographic coordinate system"
"26638";"Planar coordinate system"
"26639";"Set of GCPs"
"26640";"Georeferencing"
"26641";"Geoid"
"26642";"Global vertical datum"
"26643";"Georeferenced raster"
"26644";"Global contrast enhancement"
"26645";"Histogram operation"
"26646";"Horizontal datum"
"26647";"Vertical datum"
"26648";"Haze correction"
"26649";"Height"
"26650";"Interpretation elements"
"26651";"Stereoscopic viewing"
"26652";"Sphere"
"26653";"Horizontal positioning"
"26654";"IHS"
"26655";"Colour space"
"26656";"Pseudo colour"
"26657";"Image Space"
"26658";"Image characteristic"
"26659";"Radiometric operation"
"26660";"Spatial Autocorrelation"
"26661";"Interval data"
"26662";"Quantitative data"
"26663";"Ionosphere"
"26664";"Medium"
"26665";"Irregular Tessellation"
"26666";"Tessellation"
"26667";"Join"
"26668";"Relation"
"26669";"Join condition"
"26670";"Logical expression"
"26671";"Node"
"26672";"Lineage"
"26673";"Local contrast enhancement"
"26674";"Local horizontal datum"
"26675";"Local vertical datum"
"26676";"Location"
"26677";"Logical consistency"
"26678";"Logical inference"
"26679";"Map"
"26680";"Model"
"26681";"Visualization"
"26682";"Map design"
"26683";"Map purpose"
"26684";"Map element"
"26685";"Map projection"
"26686";"Projection classification"
"26687";"Map symbol"
"26688";"Map type"
"26689";"Mean sea level"
"26690";"Measurement"
"26691";"Mobile GIS"
"26692";"Multi path"
"26693";"Random error"
"26694";"Neighbourhood operations"
"26695";"Network"
"26696";"Point representation"
"26697";"Network Allocation"
"26698";"Network Analysis"
"26699";"Network Partitioning"
"26700";"Nominal data"
"26701";"Qualitative data"
"26702";"North oriented georeferenced raster"
"26703";"Orthogonal raster image"
"26704";"Object based classifcation"
"26705";"Observation"
"26706";"Scanner"
"26707";"Optimal Path Finding"
"26708";"Satellite"
"26709";"Orbit position"
"26710";"Ordinal data"
"26711";"Overlay Analysis"
"26712";"Pattern"
"26713";"Perception property"
"26714";"Visual variable"
"26715";"Pixel based classifcation"
"26716";"Area representation"
"26717";"Positional accuracy"
"26718";"Precision"
"26719";"Preliminary interpretation"
"26720";"Preliminary legend"
"26721";"Querying a spatial database with SQL"
"26722";"Set of transformation equations"
"26723";"Raster distortion"
"26724";"Raster Measurements"
"26725";"Raster Overlay"
"26726";"Reclassification"
"26727";"User segment"
"26728";"Receiver noise"
"26729";"Reference set"
"26730";"Sample set"
"26731";"Validation of results"
"26732";"Reflectance"
"26733";"Reflection of electromagnetic radiation"
"26734";"Relational data model"
"26735";"Relational database"
"26736";"Relative atmospheric correction"
"26737";"Remote sensing"
"26738";"Resolution"
"26739";"Sampling method"
"26740";"Satellite-based augmentation system"
"26741";"Scanning"
"26742";"Selection by attributes"
"26743";"Selection condition"
"26744";"Attribute projection"
"26745";"Selection of records"
"26746";"Tuple selection"
"26747";"Tuple"
"26748";"Set of coordinates"
"26749";"Shape"
"26750";"Size"
"26751";"Radiant and kinetic temperatures"
"26752";"Sky radiance correction"
"26753";"Spatial-Temporal data model"
"26754";"Geographical representation"
"26755";"Temporal attribute"
"26756";"Tobler's first law"
"26757";"Selection based on spatial relationships"
"26758";"Spatial Reference System"
"26759";"Spectral reflectance"
"26760";"Land cover"
"26761";"Spectral reflectance curves"
"26762";"Spontaneous recognition"
"26763";"Statistical parameter"
"26764";"Stratified representative sampling"
"26765";"Subtractive colour system"
"26766";"Sun elevation correction"
"26767";"System"
"26768";"System dimensions"
"26769";"System Modelling"
"26770";"System Dynamics"
"26771";"Triangulated Irregular Networks"
"26772";"Temporal accuracy"
"26773";"Texture"
"26774";"Thiessen Polygons"
"26775";"Tone"
"26776";"Topological Consistency"
"26777";"Topological relationship"
"26778";"Topology"
"26779";"Training set"
"26780";"Transmittance"
"26781";"Transmission of electromagnetic radiation"
"26782";"Troposphere"
"26783";"UAV"
"26784";"Unbiased sampling strategies"
"26785";"Membership functions"
"26786";"Unsupervised Image Classification Algorithm"
"26787";"User controlled classification"
"26788";"Vector Measurements"
"26789";"Vector Overlay"
"26790";"Vertical positioning"
"26791";"Visible light"
"26792";"Wavelength and frequency"
"26793";"2D Polar to 2D Cartesian transformation"
"26794";"Changing map projection"
"26795";"Datum transformation"
"26796";"Projection class"
"26797";"Projections by secancy"
"26798";"Projections by aspect"
"26799";"Projections by distortion property"
"26800";"Positioning system"
"26801";"System element"
"26802";"Interaction"
"26803";"Map scale"
"26804";"Cartographic communication"
"26805";"Mapping of qualitative data"
"26806";"Mapping of quantitative data"
"26807";"Mapping of time series"
"26808";"Mapping of elevation"
"26809";"Dissemination"
"26810";"Noise reduction"
"26811";"Edge enhancement"
"26812";"Correction of periodic line dropouts"
"26813";"Correction of line striping"
"26814";"Correction of random noise"
"26815";"Histogram"
"26816";"Radiative transfer model"
"26817";"Aerial survey"
"26818";"Errors in Absolute positioning"
"26819";"Mapping equations"
"26820";"Trace analysis"
"26821";"Diffusion"
"26822";"Flow"
"26823";"Slope computation"
"26824";"Aspect computation"
"26825";"Data checks and repairs"
"26826";"Data preparation"
"26827";"Associating attribute"
"26828";"Vectorization"
"26829";"Rasterization"
"26830";"Topology generation"
"26831";"Combining data from multiple sources"
"26832";"Accuracy differences"
"26833";"Merging datasets"
"26834";"Differences in coordinate systems"
"26835";"Error propagation"
"26836";"Domain"
"26837";"Keys"
"26838";"Pseudorange"
"26839";"Geometric Operations"
"26840";"Data integration"
"26841";"Visual analysis for change detection"
"26842";"Transformations (in change detection)"
"26843";"Model-based methods for change detection"
"26844";"Object-based change detection"
"26845";"Spectral-temporal analysis"
"26846";"Change matrix"
"26847";"Unsupervised change detection"
"26848";"Hybrid change detection"
"26849";"Post-classification comparison"
"26850";"Classification-based change detection"
"26851";"Change vector analysis"
"26852";"Image regression"
"26853";"Image differencing"
"26854";"Algebra techniques for change detection"
"26855";"Periodic changes"
"26856";"Gradual changes"
"26857";"Multi concept"
"26858";"Sudden changes"
"26859";"True and apparent changes"
"26860";"Change detection"
"26861";"Earth Observation"
"26862";"Change detection techniques"
"26863";"Data selection criteria"
"26864";"Image ratioing"
"26865";"Vegetation index differencing"
"26866";"GIS-based change detection"
"26867";"System feedback"
"26868";"Fuzzy change detection"
"26869";"NDVI"
"26870";"Object"
"26871";"Vegetation index"
"26872";"Spatial Data Infrastructure (SDI)"
"26873";"SDI nodes"
"26874";"Geo-webservice"
"26875";"Metadata"
"26876";"Web 2.0"
"26877";"WMS"
"26878";"WFS"
"26879";"CSW"
"26880";"WCS"
"26881";"WPS"
"26882";"SWE"
"26883";"World Wide Web"
"26884";"Standards"
"26885";"Web Portal"
"26886";"Data assimilation"
"26887";"Observation model"
"26888";"Process model"
"26889";"Retrievability"
"26890";"Observable"
"26891";"Data format"
"26892";"Unit conversion"
"26893";"Levels of spatial aggregation"
"26894";"Co-registration"
"26895";"Sampling interval"
"26896";"Scales of processes and observations"
"26897";"Requirements of data integration"
"26898";"Earth system processes"
"26899";"GEOSS"
"26900";"Mismatching in data layers"
"26901";"Interaction of electromagnetic radiation with matter"
"26902";"Interaction of atmosphere and EM radiation"
"26903";"Atmospheric scattering"
"26904";"Mission"
